Contour length,Contour area,mean blue1,mean green1,mean red1,varb1,varg1,varr1,pix11,pix21,pix31,pix41,mean blue2,mean green2,mean red2,varb2,varg2,varr2,pix12,pix22,pix32,pix42,mean blue3,mean green3,mean red3,varb3,varg3,varr3,pix13,pix23,pix33,pix43,mean blue4,mean green4,mean red4,varb4,varg4,varr4,pix14,pix24,pix34,pix44,Type
31639.5,728.8254638,16.8371875,24.606875,30.123125,1133.05443,1878.774932,2243.561611,6971712,0,0,256,37.12484375,47.5075,89.48833333,931.3685286,1086.606298,2106.309864,7686947,8670000,7419941,8279603,18.89302083,20.95354167,24.43427083,1895.279701,2213.822633,2460.33318,0,0,0,0,28.75395833,31.33260417,61.2140625,1576.45863,1746.738437,3417.943656,7486777,7884619,10128260,13420481,Onion
31792,730.5828218,16.83458333,24.52791667,30.07833333,1136.82045,1874.061408,2251.819801,6709310,0,0,2,37.03713542,47.510625,89.32838542,935.0460689,1095.527908,2119.15034,7622435,8669746,7419940,8345142,19.39302083,21.5753125,25.06260417,1942.02918,2283.767036,2512.473685,0,0,0,0,29.16666667,31.80229167,62.26270833,1560.184306,1734.922161,3384.014318,7552055,8015176,7559765,12760493,Onion
31183.5,690.340183,14.85875,22.42072917,28.1628125,879.4745276,1604.430487,2030.4537,7301445,0,0,0,37.10197917,47.13166667,88.95234375,948.8885586,1100.31006,2169.493614,7489566,8867379,7946284,8146997,19.35083333,21.50239583,25.22375,1932.461708,2260.088119,2516.667228,0,0,0,0,28.95197917,31.51864583,61.53447917,1584.426131,1760.073194,3437.729853,7618361,8213068,9009264,13288895,Onion
32172.5,735.6538892,17.64630208,25.551875,31.38052083,1192.38245,1947.941163,2323.118225,6114621,0,0,131840,37.97682292,48.36984375,91.52161458,932.5301399,1070.28358,1979.370054,7290138,8341294,6630173,9397316,18.94302083,20.944375,24.30875,1918.760608,2243.123364,2478.258007,0,0,0,0,27.70645833,30.11364583,59.30677083,1506.173208,1681.072814,3414.956829,7486522,8084821,12433840,0,Onion
31371.5,725.9970357,16.94239583,24.5521875,30.35072917,1145.009703,1882.836235,2274.99876,7366472,0,0,4,37.20744792,46.85859375,88.80296875,946.9332674,1105.481306,2190.03196,7752480,8802607,8011820,8277546,20.1434375,22.243125,26.06895833,2031.67453,2359.179224,2612.150453,0,0,0,0,28.7790625,31.00145833,61.54833333,1537.724624,1707.156456,3430.589747,7946297,8146762,8350822,13091002,Onion
31903,732.239678,17.33703125,24.98395833,30.61765625,1183.253129,1922.599118,2295.313449,7037759,0,0,5,37.89270833,48.43770833,91.25859375,932.2293218,1084.891016,2032.477036,7620390,8077870,6366740,8937014,19.07197917,21.03739583,24.28041667,1958.293256,2267.579956,2504.193033,0,0,0,0,27.84875,30.24770833,59.4871875,1516.961082,1693.012182,3416.837336,7289915,7952465,12630965,65536,Onion
31601,729.7543958,15.55463542,22.69869792,27.72166667,1058.517119,1761.607186,2125.97826,1280,0,0,0,36.44317708,47.62994792,88.17083333,945.9018753,1151.983322,2227.273733,7357980,10184765,7091227,7950891,19.67854167,21.915625,25.14572917,1984.059998,2326.373714,2561.449701,0,0,0,0,30.465,33.29677083,65.48927083,1582.614608,1760.34099,3351.844468,7617850,7882050,7096127,8279375,Onion
32180.5,735.9970354,16.28239583,23.52296875,28.60859375,1126.574419,1837.621035,2192.446541,262144,0,0,0,37.15369792,48.38541667,90.03135417,938.3198665,1131.468746,2091.271829,7425833,7617823,6301198,7097122,19.23958333,21.31072917,24.46052083,1954.656766,2281.56001,2518.499691,0,0,0,0,29.68135417,32.01583333,63.44958333,1540.815027,1705.889958,3322.107875,7091766,7685441,7361355,8217945,Onion
31947,733.4112493,16.2440625,23.46895833,28.55270833,1121.130225,1837.566641,2189.848055,8420724,0,0,0,37.00171875,47.94890625,89.26255208,938.0525491,1131.752754,2129.454556,7228454,8341795,5708293,7359783,19.72197917,21.85541667,25.04510417,1998.343225,2334.729512,2562.614736,0,0,0,0,29.92010417,32.43635417,63.92625,1579.180804,1747.226366,3344.614144,7289398,7817029,7558475,8151386,Onion
25447.5,619.9137757,7.874947917,10.99255208,17.45979167,555.7479557,839.2585383,1169.768592,7036216,0,0,131840,24.57130208,39.54515625,64.561875,1015.511895,1907.74994,3192.739921,6558228,5969425,6231565,5516047,3.553645833,4.474791667,10.95708333,173.7983721,241.5566562,568.2791998,0,0,0,0,20.95625,28.98833333,60.76958333,1120.402461,1402.884656,2366.455658,4853004,5911340,5317663,6501937,Onion
25424,613.327988,7.66765625,10.43416667,16.70479167,557.5939747,816.883791,1107.754623,4606002,0,0,0,26.09869792,43.17869792,71.09677083,984.7908316,1891.406244,2935.950219,11770214,10847580,5252354,3544576,2.511145833,3.028645833,6.809375,133.1317508,162.5815752,370.0451204,0,0,0,0,17.2565625,22.56989583,49.8125,1023.773238,1189.54574,2335.005052,5118746,7163465,8152930,196608,Onion
25476,624.4995617,6.922760417,9.008854167,14.3303125,519.962732,734.4116924,967.575477,0,0,0,0,25.56895833,42.72598958,70.80817708,959.6675364,1874.882679,2868.067631,11043924,5181440,6377498,4794377,2.094270833,2.412291667,5.2675,108.5251755,126.8768906,286.9930271,0,0,0,0,16.760625,22.10916667,49.57114583,965.5937413,1143.485166,2262.498063,5446941,6767678,6968911,11774375,Onion
24522.5,618.2569209,6.167135417,8.24703125,13.67354167,463.7352428,666.3419443,924.9420708,0,0,0,0,25.26078125,42.18067708,69.84046875,962.0011077,1877.479179,2936.734185,5320458,7357479,8806449,10652763,2.148645833,2.5390625,5.463541667,113.1109252,135.6563908,300.3297125,0,0,0,0,16.8975,22.24697917,49.44177083,982.8047021,1159.194522,2304.563068,5250330,6833984,7758684,11709096,Onion
25431,617.3279878,7.679010417,10.42697917,16.77526042,559.3984761,820.3736263,1118.602148,4998443,0,0,0,26.20666667,43.52494792,72.0365625,978.5264556,1897.542086,2961.046476,12888695,8609332,6173195,4663555,2.484479167,2.883645833,6.647916667,131.0430924,154.4726075,364.6037457,0,0,0,0,17.10083333,22.50635417,49.27677083,1019.577333,1203.12871,2372.977252,5579808,7821908,11641499,131586,Onion
24733,605.6711336,7.06390625,9.483645833,15.19557292,515.9632597,749.4105659,1024.466178,513,0,0,0,25.05421875,41.121875,67.87171875,982.5194041,1895.372542,3048.219429,4464386,6497558,6234380,6966814,2.525625,3.074791667,6.969270833,132.5008017,166.1212812,376.3899932,0,0,0,0,18.30885417,24.42270833,53.35510417,1035.39263,1240.567359,2354.767339,4921365,6963001,6964543,7296593,Onion
25056.5,607.9137758,7.024947917,9.27125,14.89786458,521.3124505,740.0973609,1001.61212,4,0,0,0,25.25567708,41.94223958,69.1678125,959.2706188,1881.435153,2970.38611,9661519,11770481,5385221,9074511,2.435625,2.847291667,6.439166667,126.5839809,152.0027218,351.246091,0,0,0,0,17.87072917,23.706875,52.38927083,1002.230268,1201.280744,2313.767531,4920597,6437684,6636605,8415587,Onion
24063,597.6711345,8.56015625,12.20234375,19.85036458,582.9616937,923.7560883,1317.692349,6120541,6841165,394496,512,26.84640625,42.12916667,68.87526042,1156.159794,1997.816024,3226.63668,7024405,6433549,6365446,6430215,2.770416667,3.302604167,8.443958333,146.6656248,174.5335349,445.398526,0,0,0,0,15.701875,20.510625,44.2246875,984.0352882,1148.94947,2414.678578,6633523,65538,65793,0,Onion
24789,605.6711341,7.983125,10.91921875,17.96895833,566.2453402,839.5960265,1182.29487,6251873,0,0,0,26.83682292,42.750625,71.19036458,1030.402696,1890.351666,3009.790063,5840129,6433812,4920064,6046742,2.5965625,3.0021875,7.345520833,135.902134,157.508641,395.2938445,0,0,0,0,16.70947917,21.2509375,46.58729167,1027.630285,1187.598176,2431.077588,7027766,11380900,197379,0,Onion
